Mnemonic,Long Name,Issuer Name,Security Type,Ticker,Asset_Class
TI5G,ISH $ TIPS 0-5 ETF GBP HDG DIST,ISHARES II PLC,SP,TI5G.L,Fixed Income
IGLH,ISH GLOB GOVT BOND ETF GBP-H D,ISHARES III PLC,SP,IGLH.L,Fixed Income
IBTE,ISH $ TRES 1-3Y ETF EUR-H ACC,ISHARES PLC,SP,IBTE.L,Fixed Income
IBTG,ISH $ TRES 1-3Y ETF GBP-H DIST,ISHARES PLC,SP,IBTG.L,Fixed Income
SPEH,ISH SPAIN GVT BOND UCITS ETF USD HG ACC,ISHARES V PLC,SP,SPEH.L,Fixed Income
ITEH,ISH ITALY GVT BOND UCITS ETF USD HG ACC,ISHARES V PLC,SP,ITEH.L,Fixed Income
DTLA,ISH $ T BND 20+YR ETF USD ACC,ISHARES IV PLC,SP,DTLA.L,Fixed Income
BNKS,ISH SP US BANKS ETF USD ACC,ISHARES V PLC,SP,BNKS.L,Global Equity
CEUG,ISH MSCI EMU UCITS ETF GBP HG DIS,ISHARES VII PLC,SP,CEUG.L,Global Equity
EMGA,ISH JPM LOC EM GOVT BND ETF USD ACC,ISHARES III PLC,SP,EMGA.L,Fixed Income
IGAA,ISH E ASIA LOCAL GOVT BND ETF USD ACC,ISHARES III PLC,SP,IGAA.L,Fixed Income
GAAA,ISH GLB AAA-AA GVT BND ETF USD ACC,ISHARES VI PLC,SP,GAAA.L,Fixed Income
GSPX,ISH S&P500 UCITS ETF GBP-H DIST,ISHARES VII PLC,SP,GSPX.L,Global Equity
LOCK,ISH DGTL SEC UCITS ETF,ISHARES IV PLC,SP,LOCK.L,Global Equity
