Mnemonic,Long Name,Issuer Name,Security Type,Ticker,Asset_Class,Geography
SMRU,AMUNDI INDEX GLOBAL MULTI SMART BETA,AMUNDI INDEX SOLUTIONS ,SP,SMRU.L,Global Equity,Global
CMU,AMUNDI INDEX MSCI EMU DR,AMUNDI INDEX SOLUTIONS ,SP,CMU.L,Global Equity,Europe
CJ1U,AMUNDI INDEX MSCI JAPAN DR,AMUNDI INDEX SOLUTIONS ,SP,CJ1U.L,Global Equity,Japan
CP9U,AMUNDI INDEX MSCI PACIFIC EX JAPAN DR,AMUNDI INDEX SOLUTIONS ,SP,CP9U.L,Global Equity,Japan
UBXX,UBS ETF JPM USD EM DIV 1-5GD,UBS ETF,SP,UBXX.L,Fixed Income,US
UD08,UBS ETF CMCI EX AGRICULTURE HDG GBP A-A,UBS ETFS PLC,SP,UD08.L,Alternatives,UK
UD06,UBS ETF BB COMMODITY CMCI HDG TO GBP A-A,UBS ETFS PLC,SP,UD06.L,Alternatives,UK
LCAN,LYXOR MSCI CANADA UCITS ETF,MULTI UNITS LUXEMBOURG,SP,LCAN.L,Global Equity,Global
LAUU,LYXOR AUSTRALIA (S&P/ASX 200) UCITS ETF,MULTI UNITS LUXEMBOURG,SP,LAUU.L,Global Equity,US
SGQP,LYXOR SG GLOBAL QUALITY INCOME NTR,MULTI UNITS LUXEMBOURG,SP,SGQP.L,Global Equity,Global
LCUK,LYXOR CORE MORNINGSTAR UK NT (DR) UCITS,MULTI UNITS LUXEMBOURG,SP,LCUK.L,Global Equity,UK
LCUS,LYXOR CORE MORNINGSTAR US (DR) UCITS ETF,MULTI UNITS LUXEMBOURG,SP,LCUS.L,Global Equity,US
LCWL,LYXOR CORE MSCI WORLD (DR) UCITS ETF,MULTI UNITS LUXEMBOURG,SP,LCWL.L,Global Equity,Global
LCJP,LYXOR CORE MSCI JAPAN (DR) UCITS ETF,MULTI UNITS LUXEMBOURG,SP,LCJP.L,Global Equity,Japan
ALAU,AMUNDI MSCI EM LATIN AMERICA,AMUNDI INDEX SOLUTIONS ,SP,ALAU.L,Alternatives,US
